Problem,I_b,I_f,RUBI Ratio,Seed,Best Makespan,Best Reached Time
la16,0.411111111,0.395061728,0,0,1016,508.9222479
la16,0.411111111,0.395061728,20,0,1051,180.9226141
la16,0.411111111,0.395061728,40,0,1003,656.2046354
la16,0.411111111,0.395061728,60,0,1003,455.9893515
la16,0.411111111,0.395061728,80,0,1036,647.1417129
la16,0.411111111,0.395061728,100,0,1047,364.7407572
la16,0.411111111,0.395061728,0,1,1030,279.2836142
la16,0.411111111,0.395061728,20,1,1035,136.2520211
la16,0.411111111,0.395061728,40,1,1041,590.8491123
la16,0.411111111,0.395061728,60,1,1040,329.8089769
