num_job,num_machine,mean,std,seed,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,MoRUBI_best,MoRUBI_time,SPT_best,SPT_time,LPT_best,LPT_time,GT_best,GT_time
10,50,30,10,0,2537.65,2256,5.407475471496582,1830,11.610674619674683,1857,11.528412103652954,1769,11.412366151809692,1761,11.655281066894531,1829,11.773878335952759
10,50,30,10,1,2582.01,2270,5.597893476486206,1873,11.618992328643799,1876,11.657249212265015,1747,11.567928552627563,1754,11.62194037437439,1806,11.752086400985718
10,50,30,10,2,2517.45,2238,5.657503604888916,1810,11.459787607192993,1797,11.714545488357544,1776,11.230319261550903,1715,11.33600902557373,1791,11.876187324523926
10,50,30,10,3,2530.65,2197,5.3926050662994385,1791,11.099060773849487,1771,11.354668140411377,1777,11.54762601852417,1842,11.499980449676514,1837,11.58862590789795
10,50,30,10,4,2596.38,2281,5.289276123046875,1854,11.403621435165405,1854,11.622182607650757,1759,11.494917154312134,1757,11.294909000396729,1841,11.659398317337036
10,50,30,10,5,2539.72,2221,5.317771911621094,1815,11.293797492980957,1780,11.51538872718811,1758,11.293196439743042,1747,11.598582983016968,1770,11.44607663154602
10,50,30,10,6,2546.84,2246,5.389602184295654,1804,11.618446826934814,1816,11.342299938201904,1738,11.067872524261475,1749,11.563222169876099,1796,11.607848882675171
10,50,30,10,7,2491.91,2092,5.422828197479248,1812,11.741376876831055,1798,11.840097665786743,1736,11.632043600082397,1760,11.410581350326538,1776,12.026132583618164
10,50,30,10,8,2558.17,2237,5.312690258026123,1845,11.120160818099976,1826,11.43748164176941,1742,11.063403129577637,1733,11.202112913131714,1748,11.725631952285767
10,50,30,10,9,2574.01,2119,5.368699312210083,1795,11.566805124282837,1780,12.011732339859009,1763,11.409797191619873,1767,11.475474834442139,1771,11.88852071762085
