num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,GT_best,GT_time
5,5,30,10,0,0.55,0.4375,428.67,298,0.21123671531677246,297,0.411365270614624,311,0.4343221187591553
5,10,30,10,0,0.2,0.3055555555555556,591.93,443,0.36714696884155273,395,0.7762677669525146,399,0.7987401485443115
5,15,30,10,0,0.11666666666666667,0.16071428571428573,770.94,614,0.5451385974884033,575,1.164431095123291,576,1.1861522197723389
5,20,30,10,0,0.075,0.09210526315789473,944.17,769,0.722092866897583,725,1.5486998558044434,769,1.5687446594238281
5,25,30,10,0,0.09,0.16666666666666666,1190.52,964,0.9178130626678467,905,1.9479236602783203,908,2.0012285709381104
5,30,30,10,0,0.1,0.1206896551724138,1373.62,1127,1.1165745258331299,1041,2.3516292572021484,1041,2.3434128761291504
5,35,30,10,0,0.09285714285714286,0.10294117647058823,1579.49,1349,1.3347892761230469,1223,2.8690171241760254,1209,2.816592216491699
5,40,30,10,0,0.0625,0.03205128205128205,1756.57,1543,1.4872918128967285,1460,3.335179090499878,1426,3.2339694499969482
5,45,30,10,0,0.07777777777777778,0.05113636363636364,1907.7,1655,2.0520293712615967,1561,4.433912992477417,1495,4.615002870559692
5,50,30,10,0,0.045,0.030612244897959183,2061.19,1789,2.587114095687866,1727,4.718688249588013,1613,4.210070610046387
5,60,30,10,0,0.04583333333333333,0.0423728813559322,2423.36,2146,2.2946674823760986,2035,4.994962930679321,1887,4.884687662124634
5,70,30,10,0,0.02857142857142857,0.03260869565217391,2725.79,2447,2.6390230655670166,2357,6.101935625076294,2254,5.810819149017334
5,80,30,10,0,0.021875,0.03481012658227848,3082.63,2643,3.0445854663848877,2596,6.829867124557495,2554,6.609297037124634
5,90,30,10,0,0.027777777777777776,0.03932584269662921,3447.66,3110,3.4315409660339355,2869,7.840314865112305,2821,7.4731974601745605
5,100,30,10,0,0.0275,0.03787878787878788,3774.54,3416,3.7606968879699707,3182,8.854703187942505,3091,8.372726202011108
10,5,30,10,0,0.6,0.5833333333333333,604.22,443,0.3824427127838135,415,0.7838170528411865,426,0.8244724273681641
10,10,30,10,0,0.35555555555555557,0.4320987654320987,826.43,661,0.7254898548126221,509,1.4871788024902344,566,1.5422565937042236
10,15,30,10,0,0.3333333333333333,0.30158730158730157,1100.46,872,1.0660853385925293,753,2.2328920364379883,743,2.3378238677978516
10,20,30,10,0,0.22222222222222224,0.16374269005847952,1325.76,1047,1.3963687419891357,873,2.9254837036132812,906,3.083566665649414
10,25,30,10,0,0.19111111111111112,0.1851851851851852,1545.01,1311,1.805851936340332,1032,3.7132761478424072,1058,3.730449676513672
10,30,30,10,0,0.137037037037037,0.12260536398467432,1734.94,1507,2.114647150039673,1145,4.517254590988159,1226,4.523679494857788
10,35,30,10,0,0.15238095238095237,0.14705882352941177,1918.66,1694,2.4603872299194336,1334,5.169255256652832,1346,5.275763511657715
10,40,30,10,0,0.08333333333333333,0.12250712250712252,2144.76,1901,2.7670743465423584,1504,5.806868076324463,1510,5.810714483261108
10,45,30,10,0,0.11358024691358024,0.10353535353535354,2323.26,2079,3.0554661750793457,1611,6.694034814834595,1631,6.715550661087036
10,50,30,10,0,0.0911111111111111,0.09070294784580499,2537.65,2256,3.5083818435668945,1834,7.60465931892395,1827,7.641173362731934
10,60,30,10,0,0.08148148148148147,0.07721280602636535,2869.04,2544,4.274740695953369,2097,9.295183897018433,2048,9.147824048995972
10,70,30,10,0,0.0761904761904762,0.061191626409017714,3228.44,2935,4.979387521743774,2414,11.114084482192993,2349,10.522589683532715
10,80,30,10,0,0.07222222222222222,0.06469760900140646,3644.39,3284,5.690548896789551,2711,12.423093795776367,2678,12.16444182395935
10,90,30,10,0,0.053086419753086415,0.043695380774032455,3966.23,3647,6.435577392578125,2979,14.475059986114502,2958,13.815791368484497
10,100,30,10,0,0.03777777777777777,0.03928170594837262,4400.49,3948,7.385586500167847,3345,16.04830050468445,3270,15.461324214935303
15,5,30,10,0,0.7142857142857142,0.7321428571428571,767.91,614,0.5588414669036865,545,1.1837069988250732,532,1.2915258407592773
15,10,30,10,0,0.4999999999999999,0.5079365079365078,1090.77,911,1.0921082496643066,728,2.196023941040039,723,2.3028697967529297
15,15,30,10,0,0.3428571428571428,0.32653061224489793,1317.65,1068,1.520481824874878,848,3.0458309650421143,884,3.3020317554473877
15,20,30,10,0,0.2857142857142857,0.2932330827067669,1564.65,1325,1.9862875938415527,1000,3.937609910964966,1060,4.2905802726745605
15,25,30,10,0,0.2542857142857142,0.27678571428571425,1838.8,1555,2.4208908081054688,1190,4.919516324996948,1240,5.292069435119629
15,30,30,10,0,0.2238095238095238,0.2413793103448276,2048.54,1781,2.838489294052124,1280,5.867981433868408,1347,6.1243674755096436
15,35,30,10,0,0.2020408163265306,0.19117647058823528,2275.81,1880,3.323092460632324,1471,6.866534233093262,1530,7.265304327011108
15,40,30,10,0,0.16607142857142856,0.1703296703296703,2470.67,2133,3.71055006980896,1698,7.963570594787598,1687,8.205427169799805
15,45,30,10,0,0.16666666666666666,0.14772727272727273,2692.34,2310,4.3052873611450195,1798,8.729735851287842,1829,9.164467096328735
15,50,30,10,0,0.14571428571428569,0.12099125364431484,2846.87,2532,4.551754474639893,1929,9.715957641601562,1922,11.167067050933838
15,60,30,10,0,0.10833333333333334,0.11622276029055689,3298.02,2938,6.009458541870117,2253,13.20148754119873,2213,13.404607772827148
15,70,30,10,0,0.0989795918367347,0.08592132505175983,3731.78,3201,7.174395561218262,2573,14.967172622680664,2577,16.09042978286743
15,80,30,10,0,0.08928571428571427,0.09674502712477395,4154.72,3691,8.599470138549805,2908,17.615859985351562,2842,17.994128704071045
15,90,30,10,0,0.06587301587301586,0.08747993579454252,4536.69,4032,9.372436285018921,3132,20.16548466682434,3214,20.57225513458252
15,100,30,10,0,0.07071428571428572,0.0844155844155844,5042.46,4509,9.972315073013306,3632,22.837114095687866,3490,24.417181253433228
20,5,30,10,0,0.7894736842105263,0.7894736842105262,950.22,778,0.875967264175415,674,1.7962164878845215,677,2.458911895751953
20,10,30,10,0,0.5842105263157895,0.6023391812865496,1309.09,1102,1.6814098358154297,878,3.5388128757476807,886,3.8252532482147217
20,15,30,10,0,0.4561403508771929,0.46992481203007513,1652.11,1317,2.2947936058044434,1105,4.849327564239502,1084,5.579415559768677
