num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,GT_best,GT_time
5,5,30,10,0,0.55,0.4375,428.67,298,0.20862078666687012,297,0.39290785789489746,311,0.4333815574645996
5,10,30,10,0,0.2,0.3055555555555556,591.93,443,0.3585944175720215,395,0.7563776969909668,399,0.7753660678863525
5,15,30,10,0,0.11666666666666667,0.16071428571428573,770.94,614,0.5631380081176758,575,1.1344294548034668,576,1.159425973892212
5,20,30,10,0,0.075,0.09210526315789473,944.17,769,0.7460064888000488,725,1.513704776763916,769,1.5314083099365234
5,25,30,10,0,0.09,0.16666666666666666,1190.52,964,0.9149432182312012,905,2.0514936447143555,908,2.0499885082244873
5,30,30,10,0,0.1,0.1206896551724138,1373.62,1127,1.1384401321411133,1041,2.461526393890381,1041,2.389395236968994
5,35,30,10,0,0.09285714285714286,0.10294117647058823,1579.49,1349,1.3459243774414062,1223,2.857405662536621,1209,2.7546041011810303
5,40,30,10,0,0.0625,0.03205128205128205,1756.57,1543,1.5372509956359863,1460,3.2444918155670166,1426,3.116934299468994
5,45,30,10,0,0.07777777777777778,0.05113636363636364,1907.7,1655,1.7817394733428955,1561,3.771092176437378,1495,4.321131229400635
5,50,30,10,0,0.045,0.030612244897959183,2061.19,1789,2.4112048149108887,1727,4.602136135101318,1613,4.902921676635742
10,5,30,10,0,0.6,0.5833333333333333,604.22,443,0.46654844284057617,415,0.9460523128509521,426,0.8474860191345215
10,10,30,10,0,0.35555555555555557,0.4320987654320987,826.43,661,0.8978383541107178,509,1.7840642929077148,566,1.8075313568115234
10,15,30,10,0,0.3333333333333333,0.30158730158730157,1100.46,872,1.1372716426849365,753,2.8948800563812256,743,2.6325626373291016
10,20,30,10,0,0.22222222222222224,0.16374269005847952,1325.76,1047,1.7246367931365967,873,3.2664668560028076,906,3.292473077774048
10,25,30,10,0,0.19111111111111112,0.1851851851851852,1545.01,1311,1.7710108757019043,1032,3.726621389389038,1058,3.8281540870666504
10,30,30,10,0,0.137037037037037,0.12260536398467432,1734.94,1507,2.3852503299713135,1145,4.69144082069397,1226,4.590172529220581
10,35,30,10,0,0.15238095238095237,0.14705882352941177,1918.66,1694,2.59723162651062,1334,5.424238920211792,1346,5.372369766235352
10,40,30,10,0,0.08333333333333333,0.12250712250712252,2144.76,1901,2.8091201782226562,1504,5.979097604751587,1510,5.97525954246521
10,45,30,10,0,0.11358024691358024,0.10353535353535354,2323.26,2079,3.144376754760742,1611,6.854825258255005,1631,6.809675455093384
10,50,30,10,0,0.0911111111111111,0.09070294784580499,2537.65,2256,3.552250385284424,1834,7.749356031417847,1827,7.722404956817627
15,5,30,10,0,0.7142857142857142,0.7321428571428571,767.91,614,0.5848307609558105,545,1.120020866394043,532,1.3112742900848389
15,10,30,10,0,0.4999999999999999,0.5079365079365078,1090.77,911,1.1885449886322021,728,2.0897648334503174,723,2.262016534805298
15,15,30,10,0,0.3428571428571428,0.32653061224489793,1317.65,1068,1.5383529663085938,848,3.01627779006958,884,3.458082675933838
15,20,30,10,0,0.2857142857142857,0.2932330827067669,1564.65,1325,1.9567697048187256,1000,3.9961209297180176,1060,4.255441188812256
15,25,30,10,0,0.2542857142857142,0.27678571428571425,1838.8,1555,2.367786169052124,1190,4.9367029666900635,1240,5.135212659835815
15,30,30,10,0,0.2238095238095238,0.2413793103448276,2048.54,1781,2.7895665168762207,1280,5.732501745223999,1347,6.212891340255737
