num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,SPT_best,SPT_time,LPT_best,LPT_time,GT_best,GT_time
200,5,2000,1000,0,0.9798994974874372,0.9798994974874371,48383.84299999998,45718.0,19.693512678146362,41388.19999999999,34.82430410385132,41388.19999999999,40.11403751373291,45429.6,45.16509413719177,41388.19999999995,60.281914472579956
200,5,2000,1000,1,0.9798994974874373,0.9798994974874372,50292.552,46186.30000000001,20.42103338241577,42728.59999999997,38.09643292427063,43108.0,39.27928423881531,45217.499999999985,42.191797971725464,42728.59999999995,61.542699337005615
200,5,2000,1000,2,0.9798994974874372,0.9798994974874371,47798.307,44497.299999999974,19.95546269416809,40680.59999999999,36.698052644729614,41169.099999999984,40.84455227851868,44814.59999999997,43.159833669662476,40680.59999999997,63.03967571258545
200,5,2000,1000,3,0.9798994974874372,0.9798994974874372,50505.819000000025,46834.1,22.45948338508606,42870.69999999999,37.984227895736694,42984.4,42.65373778343201,46066.300000000025,43.033844232559204,42772.79999999999,60.78805923461914
200,5,2000,1000,4,0.9798994974874372,0.9798994974874373,50340.94400000001,47195.3,20.187697649002075,43478.000000000015,36.98283338546753,43761.20000000002,41.02589249610901,46759.299999999996,46.169339179992676,43477.99999999999,61.32833409309387
200,5,2000,1000,5,0.9798994974874372,0.9798994974874371,49769.79700000002,46091.600000000006,20.421427726745605,42531.10000000001,36.061296463012695,43087.40000000002,39.435986280441284,45068.90000000003,41.27129530906677,42531.09999999999,60.527350425720215
200,5,2000,1000,6,0.979899497487437,0.9798994974874371,48869.89800000001,45071.00000000003,20.58321213722229,40647.6,36.0021390914917,41205.5,40.34973382949829,42905.49999999999,41.88483500480652,40378.5,59.71208882331848
200,5,2000,1000,7,0.9798994974874372,0.9798994974874372,48656.89900000001,45548.10000000003,19.548420906066895,41783.5,35.18549370765686,42856.09999999999,38.74912428855896,43483.4,42.970627546310425,41783.49999999997,61.09230303764343
200,5,2000,1000,8,0.9798994974874372,0.9798994974874372,49852.57099999999,46004.99999999999,20.5854275226593,42651.49999999998,36.10966992378235,42830.999999999985,40.037171840667725,44765.19999999998,43.042972564697266,42651.499999999956,59.28744721412659
200,5,2000,1000,9,0.979899497487437,0.9798994974874371,49611.17699999998,45096.50000000001,19.97608709335327,42652.89999999999,33.76701068878174,43087.99999999999,39.747642993927,44459.59999999999,42.959258794784546,42652.89999999999,61.77806067466736
200,5,2000,1000,10,0.9798994974874373,0.9798994974874371,48908.32500000001,45051.30000000003,20.427837133407593,40942.49999999999,36.02798128128052,40942.5,40.08251976966858,44703.20000000002,43.10379338264465,40942.5,59.443514585494995
200,5,2000,1000,11,0.9798994974874372,0.9798994974874372,49720.26999999998,45866.600000000006,19.685892581939697,41992.70000000001,36.78450918197632,41927.29999999999,40.879724979400635,46268.59999999998,45.72276973724365,41598.299999999974,60.96087455749512
200,5,2000,1000,12,0.9798994974874372,0.9798994974874371,48725.931000000004,43815.599999999984,20.110656261444092,40897.499999999985,35.48136258125305,41338.60000000003,39.05564594268799,43961.09999999999,41.74148082733154,40897.499999999985,58.623462438583374
200,5,2000,1000,13,0.9798994974874372,0.9798994974874373,49045.74200000001,45728.99999999996,20.4660747051239,41782.29999999998,37.0158588886261,42110.10000000001,41.03178787231445,43873.00000000002,42.865262508392334,41338.9,60.884382247924805
200,5,2000,1000,14,0.9798994974874372,0.9798994974874371,47391.424000000006,43571.50000000001,19.658788204193115,40363.099999999984,35.25172424316406,40579.50000000001,39.59071731567383,43574.19999999997,42.11299514770508,40363.09999999998,60.16734790802002
200,5,2000,1000,15,0.979899497487437,0.9798994974874373,48352.004,45201.4,20.20742392539978,42219.99999999997,35.830981731414795,42220.00000000001,40.692370891571045,46340.39999999999,43.2312490940094,42219.999999999956,59.669116497039795
200,5,2000,1000,16,0.9798994974874372,0.9798994974874371,49057.039,45642.199999999975,19.58297610282898,41450.49999999999,34.62023591995239,41718.09999999999,38.320512533187866,44531.59999999998,44.2618670463562,40862.699999999975,60.18077874183655
200,5,2000,1000,17,0.9798994974874373,0.9798994974874371,50165.824000000015,45912.60000000003,20.151827812194824,42575.09999999998,36.21452569961548,42954.499999999985,39.201690673828125,46676.999999999985,42.82481288909912,42575.09999999996,59.662492513656616
200,5,2000,1000,18,0.9798994974874372,0.9798994974874373,48666.55600000001,44221.400000000045,19.597485065460205,41043.79999999999,34.30157923698425,41088.20000000003,39.38001227378845,43537.0,41.568246841430664,41043.79999999998,59.45405173301697
200,5,2000,1000,19,0.9798994974874372,0.9798994974874372,48505.480999999985,44688.29999999998,19.82036566734314,41621.39999999999,35.59417104721069,41648.89999999996,39.38046455383301,44999.89999999996,41.11046862602234,41418.19999999996,58.31632161140442
